ID,X,Y,Click
640,16,39,0
641,21,39,0
642,27,39,0
643,34,35,0
644,35,28,0
645,35,22,0
646,33,17,0
647,31,15,0
648,18,43,0
649,21,41,0
650,23,38,0
651,26,32,0
652,26,27,0
653,26,23,0
654,24,19,0
655,20,13,0
656,13,11,0
657,8,10,0
658,2,9,0
659,0,9,0
660,0,27,0
661,4,30,0
662,7,33,0
663,30,12,0
664,29,12,0
665,27,12,0
666,25,13,0
667,25,14,0
668,22,23,0
669,22,25,0
670,22,26,0
671,23,26,0
672,24,26,0
673,26,24,0
674,26,22,0
675,26,18,0
676,26,16,0
677,25,14,0
678,24,14,0
679,26,15,0
680,29,20,0
681,33,25,0
682,38,29,0
683,42,31,0
684,46,34,0
685,47,35,0
686,46,35,0
687,44,35,0
688,36,32,0
689,32,31,0
690,29,28,0
691,27,25,0
692,27,23,0
693,26,21,0
694,26,19,0
695,26,17,0
696,26,16,0
697,26,15,0
698,28,14,0
699,30,14,0
700,36,13,0
701,40,13,0
702,44,13,0
703,48,13,0
704,50,13,0
705,51,13,0
706,53,13,0
707,54,14,0
708,57,17,0
709,58,19,0
710,60,20,0
711,61,23,0
712,61,24,0
713,37,14,0
714,35,15,0
715,34,18,0
716,33,24,0
717,33,29,0
718,34,32,0
719,37,33,0
720,43,34,0
721,50,33,0
722,56,32,0
723,61,27,0
724,62,23,0
725,61,17,0
726,57,12,0
727,51,12,0
728,45,12,0
729,38,17,0
730,33,25,0
731,29,30,0
732,28,35,0
733,28,37,0
734,31,39,0
735,38,22,0
736,35,21,0
737,33,21,0
738,31,24,0
739,30,30,0
740,31,36,0
741,36,39,0
742,45,41,0
743,55,40,0
744,64,35,0
745,71,29,0
746,74,25,0
747,74,21,0
748,66,16,0
749,58,15,0
750,48,15,0
751,38,17,0
752,31,21,0
753,29,26,0
754,29,29,0
755,30,32,0
756,33,34,0
757,38,36,0
758,42,36,0
759,45,36,0
760,48,33,0
761,49,29,0
762,49,24,0
763,46,20,0
764,40,18,0
765,36,18,0
766,33,20,0
767,28,34,0
768,28,43,0
769,33,48,0
770,38,50,0
771,45,51,0
772,49,50,0
773,54,44,0
774,55,40,0
775,55,36,0
776,51,29,0
777,44,27,0
778,37,27,0
779,38,22,0
780,28,29,0
781,35,21,0
782,28,30,0
783,33,21,0
784,30,31,0
785,31,24,0
786,32,32,0
787,30,30,0
788,31,36,0
789,38,33,0
790,36,39,0
791,43,33,0
792,45,41,0
793,46,32,0
794,55,40,0
795,49,31,0
796,64,35,0
797,50,30,0
798,71,29,0
799,74,25,0
800,74,21,0
801,66,16,0
802,58,15,0
803,48,15,0
804,38,17,0
805,31,21,0
806,29,26,0
807,29,29,0
808,30,32,0
809,33,34,0
810,38,36,0
811,42,36,0
812,45,36,0
813,48,33,0
814,49,29,0
815,49,24,0
816,46,20,0
817,40,18,0
818,36,18,0
819,33,20,0
820,28,34,0
821,28,43,0
822,33,48,0
823,38,50,0
824,45,51,0
825,49,50,0
826,54,44,0
827,55,40,0
828,55,36,0
829,51,29,0
830,44,27,0
831,37,27,0
832,28,29,0
833,28,30,0
834,30,31,0
835,32,32,0
836,38,33,0
837,43,33,0
838,46,32,0
839,49,31,0
840,50,30,0
841,50,31,0
842,50,32,0
843,48,34,0
844,48,35,0
845,46,39,0
846,46,40,0
847,47,40,0
848,48,39,0
849,50,37,0
850,50,32,0
851,50,28,0
852,49,26,0
853,47,26,0
854,43,33,0
855,42,40,0
856,42,45,0
857,44,47,0
858,49,49,0
859,58,50,0
860,64,50,0
861,70,50,0
862,76,49,0
863,77,49,0
864,77,47,0
865,73,46,0
866,70,45,0
867,62,45,0
868,56,45,0
869,54,49,0
870,58,59,0
871,72,67,0
872,82,70,0
873,89,71,0
874,96,71,0
875,101,71,0
876,107,69,0
877,119,64,0
878,125,62,0
879,128,61,0
880,130,61,0
881,132,60,0
882,133,60,0
883,133,59,0
884,133,58,0
885,128,55,0
886,124,53,0
887,110,53,0
888,91,53,0
889,255,70,0
890,261,70,0
891,272,70,0
892,283,70,0
893,295,70,0
894,301,70,0
895,304,70,0
896,305,70,0
897,306,70,0
898,311,70,0
899,320,74,0
900,332,79,0
901,346,86,0
902,362,95,0
903,373,104,0
904,383,115,0
905,391,124,0
906,395,129,0
907,409,142,0
908,417,150,0
909,428,160,0
910,597,286,0
911,595,292,0
912,595,300,0
913,595,303,0
914,597,306,0
915,599,307,0
916,603,304,0
917,603,300,0
918,602,291,0
919,596,286,0
920,589,286,0
921,579,292,0
922,572,303,0
923,570,309,0
924,570,311,0
925,584,311,0
926,594,307,0
927,599,302,0
928,601,297,0
929,601,295,0
930,598,289,0
931,589,281,0
932,578,279,0
933,564,281,0
934,559,287,0
935,559,289,0
936,561,291,0
937,566,291,0
938,574,291,0
939,578,291,0
940,579,291,0
941,580,289,0
942,579,283,0
943,571,273,0
944,556,269,0
945,544,270,0
946,569,287,0
947,569,280,0
948,566,272,0
949,561,268,0
950,558,268,0
951,552,273,0
952,550,277,0
953,547,286,0
954,547,293,0
955,550,296,0
956,554,297,0
957,560,297,0
958,566,295,0
959,569,292,0
960,569,287,0
961,569,281,0
962,563,276,0
963,556,274,0
964,551,273,0
965,543,276,0
966,536,291,0
967,537,299,0
968,541,303,0
969,545,305,0
970,554,306,0
971,561,305,0
972,564,303,0
973,566,299,0
974,566,293,0
975,562,284,0
976,554,280,0
977,549,280,0
978,541,284,0
979,533,294,0
980,532,298,0
981,532,303,0
982,537,304,0
983,544,304,0
984,552,301,0
985,554,299,0
986,555,296,0
987,555,293,0
988,552,289,0
989,548,287,0
990,543,287,0
991,537,288,0
992,530,295,0
993,529,299,0
994,530,301,0
995,531,302,0
996,535,302,0
997,537,302,0
998,552,284,0
999,556,289,0
1000,559,296,0
1001,568,311,0
1002,582,326,0
1003,597,334,0
1004,607,337,0
1005,616,340,0
1006,631,355,0
1007,651,381,0
1008,667,405,0
1009,681,433,0
1010,750,497,0
1011,752,501,0
1012,753,507,0
1013,755,512,0
1014,756,519,0
1015,760,534,0
1016,763,543,0
1017,767,550,0
1018,768,554,0
1019,768,557,0
1020,767,561,0
1021,765,571,0
1022,765,586,0
1023,765,598,0
1024,765,609,0
1025,765,612,0
1026,763,613,0
1027,762,616,0
1028,762,620,0
1029,761,624,0
1030,761,626,0
1031,508,583,0
1032,508,577,0
1033,511,571,0
1034,515,566,0
1035,546,546,0
1036,569,529,0
1037,596,501,0
1038,641,452,0
1039,690,400,0
1040,749,323,0
1041,809,229,0
1042,868,144,0
1043,925,73,0
1044,750,497,0
1045,974,16,0
1046,752,501,0
1047,753,507,0
1048,755,512,0
1049,756,519,0
1050,760,534,0
1051,763,543,0
1052,767,550,0
1053,768,554,0
1054,768,557,0
1055,767,561,0
1056,765,571,0
1057,765,586,0
1058,765,598,0
1059,765,609,0
1060,765,612,0
1061,763,613,0
1062,762,616,0
1063,762,620,0
1064,761,624,0
1065,761,626,0
1066,508,583,0
1067,750,497,0
1068,508,577,0
1069,752,501,0
1070,511,571,0
1071,753,507,0
1072,515,566,0
1073,546,546,0
1074,750,497,0
1075,755,512,0
1076,569,529,0
1077,756,519,0
1078,752,501,0
1079,596,501,0
1080,760,534,0
1081,753,507,0
1082,641,452,0
1083,763,543,0
